id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,municipio,data_segnalazione
SS-ROM-14083,Via del Podere Rosa,Municipio Roma IV,giallo,3,strada urbana senza ciclabile,no,2,no,0,IV,2026-06-27
SS-ROM-14084,Via del Podere Trieste,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,XIII,2026-06-27
SS-ROM-14085,Via del Podere Zara,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile,no,2,no,0,XIII,2026-06-27
SS-ROM-14086,Via del Podere di San Giusto,Municipio Roma XIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XIII,2026-06-27
SS-ROM-14087,Via del Podismo,Municipio Roma III,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,III,2026-06-27
SS-ROM-14088,Via del Poggio Laurentino,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile,no,2,si,0,VIII,2026-06-27
SS-ROM-14089,Via del Poggio di Acilia,Municipio Roma XI,giallo,3,strada urbana senza ciclabile,no,2,no,0,XI,2026-06-27
SS-ROM-14090,Via del Politeama,Municipio Roma II,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,II,2026-06-27
SS-ROM-14091,Via del Pomerio,Municipio Roma XI,blu,2,zona pedonale / living street,no,1,no,0,XI,2026-06-27
SS-ROM-14092,Via del Ponte Pisano,Municipio Roma XII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XII,2026-06-27
SS-ROM-14093,Via del Ponte degli Incastri,Municipio Roma XIV,giallo,3,strada urbana senza ciclabile,no,2,no,0,XIV,2026-06-27
SS-ROM-14094,Via del Ponte della Catena,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
SS-ROM-14095,Via del Ponte delle Sette Miglia,Municipio Roma VII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,VII,2026-06-27
SS-ROM-14096,Via del Ponte di Castel Giubileo,Municipio Roma III,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,III,2026-06-27
SS-ROM-14097,Via del Ponte di Malnome,Municipio Roma XII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,XII,2026-06-27
SS-ROM-14098,Via del Ponte di Nona,Municipio Roma V,rosso,4,strada secondaria trafficata (2 corsie),no,2,si,0,V,2026-06-27
SS-ROM-14099,Via del Ponte di Pantano,Municipio Roma VII,giallo,3,strada urbana senza ciclabile,no,2,no,0,VII,2026-06-27
SS-ROM-14100,Via del Ponte di Piscina Cupa,Municipio Roma VIII,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,VIII,2026-06-27
SS-ROM-14101,Via del Ponte di Tor Boacciana,Municipio Roma XI,rosso,4,strada principale trafficata (1 corsie),no,1,si,0,XI,2026-06-27
SS-ROM-14102,Via del Ponticello,Municipio Roma V,giallo,3,strada urbana senza ciclabile,no,2,no,0,V,2026-06-27
SS-ROM-14103,Via del Porto,Municipio Roma II,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,II,2026-06-27
