id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-MIL-3965,Via Solferino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-MIL-3966,Via Soncino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3967,Via Sondrio,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3968,Via Soperga,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,C2,
SS-MIL-3969,Via Soresina,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-MIL-3970,Via Sormani,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3971,Via Sorrento,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-MIL-3972,Via Spadari,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3973,Via Spagnoletto,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-MIL-3974,Via Spalato,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3975,Via Spartaco,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B2,
SS-MIL-3976,Via Speronari,,blu,2,zona pedonale / living street,no,1,no,0,B2,
SS-MIL-3977,Via Spezia,,rosso,4,strada principale trafficata (1 corsie),no,1,si,0,B2,
SS-MIL-3978,Via Spilamberto,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A2,
SS-MIL-3979,Via Spluga,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
